id,address,style,year,lat,lon
1,803 E Gorham St,Old Style,1837,43.08385,-89.378477
2,1721 Hickory Dr,Old Style,1842,43.086208,-89.477881
3,1035 Emerald St,Bungalow,1846,43.060754,-89.403806
4,222 N Pinckney St,Flat,1846,43.077423,-89.385875
5,5301 Milwaukee St,Old Style,1848,43.098522,-89.29079
6,1121 E Johnson St,Old Style,1849,43.0872389,-89.371535
7,131 N Bedford St,Old Style,1849,43.070619,-89.393786
8,506 E Washington Ave,Flat,1849,43.078265,-89.379657
9,3507 Milwaukee St,Flat,1849,43.097911,-89.327134
10,1113 E Mifflin St,Old Style,1850,43.085865,-89.370239
11,2014 Kendall Ave,Flat,1850,43.0723245,-89.4201654
12,203 S Baldwin St,Old Style,1850,43.085991,-89.363696
13,302 S Mills St,Flat,1850,43.064027,-89.404404
14,909 Jenifer St,Old Style,1850,43.078916,-89.368172
15,935 W Johnson St,Old Style,1850,43.0719833,-89.4021839
16,2510 Kendall Ave,Bungalow,1850,43.0716313,-89.4292617
17,811 Troy Dr,Old Style,1850,43.133529,-89.383007
18,4718 Odana Rd,Flat,1850,43.050199,-89.457303
19,719 E Gorham St,Old Style,1851,43.082908,-89.3796459